Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type
FBgn0011954	tRNA:Arg-TCG-2-2	X	21232091	21232163	1	tRNA
FBgn0034109	CG7747	2R	16292264	16294130	-1	protein_coding
FBgn0033138	Tsp42Eq	2R	7062108	7063569	-1	protein_coding
FBgn0067861	Sdic1	X	20174217	20178638	-1	protein_coding
FBgn0259709	CG42363	2R	21664126	21666108	1	protein_coding
FBgn0001978	stc	2L	15113480	15118069	1	protein_coding
FBgn0053290	CG33290	3L	21542359	21543012	1	protein_coding
FBgn0030307	CG33235	X	11486546	11491573	-1	protein_coding
FBgn0267735	asRNA:CR46066	2L	21665849	21666851	1	ncRNA
FBgn0264507	asRNA:CR43906	X	258465	267253	1	ncRNA
FBgn0031941	ATPsynGL	2L	7747275	7747874	1	protein_coding
FBgn0052407	CG32407	3L	5922055	5923567	1	protein_coding
FBgn0034053	Cyp4aa1	2R	15942864	15947266	1	protein_coding
FBgn0034114	CG4282	2R	16322186	16324801	1	protein_coding
FBgn0004654	Pgd	X	2145136	2148566	1	protein_coding
FBgn0037110	ORMDL	3L	21635305	21636251	1	protein_coding
FBgn0085377	CG34348	X	11339873	11344734	1	protein_coding
FBgn0035371	AhcyL1	3L	2768466	2772325	-1	protein_coding
FBgn0267751	asRNA:CR46082	3R	30135008	30137581	1	ncRNA
FBgn0261507	CG42655	3L	19952971	19953712	-1	protein_coding
FBgn0034727	mRpS29	2R	22418937	22420376	-1	protein_coding
FBgn0045477	Gr64c	3L	4028605	4032032	1	protein_coding
FBgn0022772	Orc1	2R	7522437	7525716	-1	protein_coding
FBgn0037617	nom	3R	8723174	8725357	1	protein_coding
FBgn0036822	NijB	3L	18892383	18893278	1	protein_coding
FBgn0264817	pre-lola-G	2R	10481894	10485252	-1	protein_coding
FBgn0015773	NetA	X	14604012	14653928	-1	protein_coding
FBgn0051380	CG31380	3R	25787997	25789455	-1	protein_coding
FBgn0030224	CG12637	X	10672433	10673466	-1	protein_coding
FBgn0031818	CG9536	2L	6474438	6476975	-1	protein_coding
FBgn0038734	CG11453	3R	19783522	19785519	1	protein_coding
FBgn0036890	CG9368	3L	19601633	19604120	1	protein_coding
FBgn0263929	jvl	3R	14741582	14795868	1	protein_coding
FBgn0036986	CG5282	3L	20424424	20426071	-1	protein_coding
FBgn0038420	CG10311	3R	16350786	16357015	-1	protein_coding
FBgn0038589	CG18598	3R	18251115	18251539	1	protein_coding
FBgn0038642	Muc91C	3R	18687556	18692719	-1	protein_coding
FBgn0051805	CG31805	2L	16898175	16900473	-1	protein_coding
FBgn0050339	CG30339	2R	9601431	9602901	-1	protein_coding
FBgn0266142	lncRNA:CR44848	2L	13865992	13866690	-1	ncRNA
FBgn0250838	roh	2R	23385464	23386463	-1	protein_coding
FBgn0267869	CR46157	Y	3059061	3059480	-1	pseudogene
FBgn0266331	asRNA:CR44996	2L	7994798	7996494	1	ncRNA
FBgn0063485	Lasp	3L	16676406	16711677	-1	protein_coding
FBgn0265956	lncRNA:CR44743	2L	5287447	5288667	-1	ncRNA
FBgn0029665	CG14270	X	3484605	3485378	-1	protein_coding
FBgn0032804	CG13081	2L	19540607	19541540	1	protein_coding
FBgn0052745	CR32745	X	6280233	6280752	-1	pseudogene
FBgn0052511	CR32511	X	21156259	21156621	-1	pseudogene
FBgn0040273	Spt5	2R	19437483	19441898	1	protein_coding
FBgn0267650	pre-mod(mdg4)-AA	3R	21370918	21373575	-1	protein_coding
FBgn0036614	Golgin104	3L	16348747	16351951	-1	protein_coding
FBgn0037144	CG7458	3L	21955110	21958041	1	protein_coding
FBgn0039580	Gfat2	3R	28337019	28339765	-1	protein_coding
FBgn0034262	swi2	2R	17690275	17695353	-1	protein_coding
FBgn0266116	lncRNA:CR44842	3L	1460703	1462801	-1	ncRNA
FBgn0032100	CG13108	2L	9164235	9165426	1	protein_coding
FBgn0284231	CG46315	2R	17703335	17719346	-1	protein_coding
FBgn0052371	CG32371	3L	7767269	7768352	-1	protein_coding
FBgn0002283	l(3)73Ah	3L	16588475	16590132	1	protein_coding
FBgn0033000	CG14464	2R	4829246	4830587	1	protein_coding
FBgn0051485	tRNA:Lys-CTT-2-1Psi	3R	6819266	6819338	-1	pseudogene
FBgn0259195	CG42299	X	15574947	15575683	-1	protein_coding
FBgn0266361	asRNA:CR45009	X	23007672	23009452	1	ncRNA
FBgn0260011	NimC4	2L	14047582	14048863	1	protein_coding
FBgn0039332	alrm	3R	25381065	25382781	-1	protein_coding
FBgn0039188	Golgin84	3R	24356070	24357938	-1	protein_coding
FBgn0033690	EndoG	2R	12177430	12178553	-1	protein_coding
FBgn0262620	lncRNA:CR43144	2L	21657625	21658249	1	ncRNA
FBgn0266201	asRNA:CR44896	X	2055948	2056425	1	ncRNA
FBgn0038451	CG14893	3R	16620778	16622702	1	protein_coding
FBgn0026390	Or33c	2L	11937969	11939202	1	protein_coding
FBgn0284420	lncRNA:TS27	3R	27999908	28001015	1	ncRNA
FBgn0035209	msd1	3L	1331744	1332326	1	protein_coding
FBgn0259951	Sfp24Ba	2L	3667977	3668551	-1	protein_coding
FBgn0011881	tRNA:Ile-AAT-1-3	2R	13430282	13430355	-1	tRNA
FBgn0051371	CG31371	3R	30501124	30503506	-1	protein_coding
FBgn0011509	SrpRbeta	3L	8718949	8720225	-1	protein_coding
FBgn0265000	lncRNA:CR44151	2L	16628752	16629173	-1	ncRNA
FBgn0053689	CG33689	3L	16200229	16200926	1	protein_coding
FBgn0036004	Jarid2	3L	9477038	9486530	1	protein_coding
FBgn0038717	CG17751	3R	19607254	19609322	1	protein_coding
FBgn0266258	lncRNA:CR44953	3R	29755190	29759040	-1	ncRNA
FBgn0083167	Neb-cGP	X	10460736	10461878	1	protein_coding
FBgn0265157	lncRNA:CR44226	3R	23040776	23041340	1	ncRNA
FBgn0051823	CG31823	2L	15898879	15900524	-1	protein_coding
FBgn0033090	CG15909	2R	6683186	6684710	1	protein_coding
FBgn0053542	upd3	X	18277233	18284596	1	protein_coding
FBgn0032354	CG4788	2L	11179032	11180430	1	protein_coding
FBgn0259143	CG42258	X	12463528	12478431	1	protein_coding
FBgn0260479	CG31904	2L	7734415	7738809	-1	protein_coding
FBgn0283480	Alp2	2R	22206005	22207987	-1	protein_coding
FBgn0040305	MTF-1	3L	9430312	9439490	1	protein_coding
FBgn0030961	CG7058	X	18806694	18812002	1	protein_coding
FBgn0036094	CG14153	3L	10643528	10644615	1	protein_coding
FBgn0030794	CG13005	X	16803650	16805754	1	protein_coding
FBgn0029703	CG12692	X	4300117	4302346	-1	protein_coding
FBgn0086370	sra	3R	16186999	16197584	1	protein_coding
FBgn0032453	CG6180	2L	12707661	12708680	1	protein_coding
FBgn0032949	Lamp1	2L	21573389	21577103	1	protein_coding
FBgn0030506	DNAlig4	X	13664584	13667811	-1	protein_coding
FBgn0086361	alph	3R	29591831	29617157	1	protein_coding
FBgn0037377	CG1218	3R	5791879	5793383	1	protein_coding
FBgn0020647	KrT95D	3R	23997538	24031827	-1	protein_coding
FBgn0023520	CG3857	X	1937700	1940040	-1	protein_coding
FBgn0265632	CG44439	2R	8249096	8249595	-1	protein_coding
FBgn0037358	elm	3R	5652640	5654861	-1	protein_coding
FBgn0034487	Efhc1.2	2R	20239936	20242873	1	protein_coding
FBgn0266259	CG44954	3R	30618626	30621906	-1	protein_coding
FBgn0034734	CG4554	2R	22483303	22492033	1	protein_coding
FBgn0267608	CR45946	Y	335386	335911	-1	pseudogene
FBgn0266129	lov	2R	25085780	25139627	-1	protein_coding
FBgn0039443	TwdlS	3R	26636688	26637557	1	protein_coding
FBgn0086895	pea	2R	14153153	14157106	1	protein_coding
FBgn0032433	Oatp33Ea	2L	12441401	12445924	-1	protein_coding
FBgn0283467	Pol32	2L	15254819	15256304	-1	protein_coding
FBgn0000370	crc	2L	21310866	21319527	1	protein_coding
FBgn0050297	tRNA:Ile-AAT-1-2	2R	8158455	8158528	1	tRNA
FBgn0000355	Cp15	3L	8728481	8729066	1	protein_coding
FBgn0261999	CG42817	2L	16231475	16241527	1	protein_coding
FBgn0263219	Dscam4	3L	8238647	8282398	1	protein_coding
FBgn0260995	dpr21	2R	3066499	3191011	1	protein_coding
FBgn0263846	CG43707	2L	3757256	3769525	1	protein_coding
FBgn0261349	Mst36Fb	2L	18673363	18675094	-1	protein_coding
FBgn0033136	Tsp42Eo	2R	7054717	7056576	1	protein_coding
FBgn0259736	CG42390	3R	22120061	22133367	1	protein_coding
FBgn0003935	snRNA:U5:34A	2L	13244848	13244974	1	snRNA
FBgn0000384	cta	2L	22981816	22992951	1	protein_coding
FBgn0033344	CG8252	2R	8909432	8910349	-1	protein_coding
FBgn0000504	dsx	3R	7924323	7967408	-1	protein_coding
FBgn0024273	WASp	3R	28824506	28832024	-1	protein_coding
FBgn0264363	CG43815	2L	3576210	3576623	1	protein_coding
FBgn0038391	GATAe	3R	16009105	16019133	1	protein_coding
FBgn0260936	scny	3L	5769002	5776271	1	protein_coding
FBgn0260026	CG42494	3L	3184404	3186549	1	protein_coding
FBgn0029518	CG13376	X	265724	267028	-1	protein_coding
FBgn0033798	CG15870	2R	13163363	13163948	-1	protein_coding
FBgn0033423	CG1809	2R	9561638	9563871	1	protein_coding
FBgn0263237	Cdk7	X	5307465	5308983	-1	protein_coding
FBgn0266378	lncRNA:CR45020	2R	15404696	15405095	1	ncRNA
FBgn0266415	lncRNA:CR45055	3R	11310676	11311182	1	ncRNA
FBgn0267296	lncRNA:CR45732	3L	19439927	19441195	-1	ncRNA
FBgn0265757	lncRNA:CR44564	3L	17335921	17337097	-1	ncRNA
FBgn0038462	CG17556	3R	16994542	16996071	-1	protein_coding
FBgn0035429	CG12017	3L	3280239	3290896	1	protein_coding
FBgn0032368	spag4	2L	11610510	11611772	-1	protein_coding
FBgn0265760	lncRNA:CR44567	3L	17633040	17633317	-1	ncRNA
FBgn0039149	CG18428	3R	24109367	24110010	1	protein_coding
FBgn0025185	az2	2R	7510622	7512749	-1	protein_coding
FBgn0004244	Rdl	3L	9145838	9182149	-1	protein_coding
FBgn0266322	asRNA:CR44987	2L	71039	73836	-1	ncRNA
FBgn0261833	lncRNA:CR42765	3R	26324499	26325294	-1	ncRNA
FBgn0263547	mir-4944	3R	10513005	10513133	-1	pre_miRNA
FBgn0264486	CG43894	3L	12889770	12892162	1	protein_coding
FBgn0085277	CG34248	3L	16270369	16270902	-1	protein_coding
FBgn0034884	Eglp3	2R	23605689	23606654	-1	protein_coding
FBgn0032213	CG5390	2L	10304069	10306594	-1	protein_coding
FBgn0023511	Edem1	X	1903704	1908827	-1	protein_coding
FBgn0000279	CecC	3R	30216484	30216938	1	protein_coding
FBgn0266260	lncRNA:CR44955	3R	10462387	10464978	-1	ncRNA
FBgn0034396	CG15097	2R	18822188	18829699	-1	protein_coding
FBgn0265807	lncRNA:CR44596	2L	12581445	12582858	1	ncRNA
FBgn0086712	Egm	2R	11616869	11619023	-1	protein_coding
FBgn0051111	CG31111	3R	25055076	25056177	-1	protein_coding
FBgn0024150	Ac78C	3L	21136447	21171930	-1	protein_coding
FBgn0082929	snoRNA:Me28S-G2703c	2R	14624007	14624091	1	snoRNA
FBgn0266083	ocm	2R	24186703	24195290	1	protein_coding
FBgn0086368	tw	X	784746	788215	1	protein_coding
FBgn0029778	RhoGAP5A	X	5616572	5618806	-1	protein_coding
FBgn0037492	CG10050	3R	7249795	7251750	1	protein_coding
FBgn0065083	snmRNA:765	2L	5193471	5193516	1	ncRNA
FBgn0035189	CG9119	3L	1203316	1204795	-1	protein_coding
FBgn0030829	CG12998	X	17218667	17219787	1	protein_coding
FBgn0038485	CG5255	3R	17137893	17138865	1	protein_coding
FBgn0028857	CG12448	2L	15941441	15942854	1	protein_coding
FBgn0035779	CG8562	3L	7398285	7399912	1	protein_coding
FBgn0040575	CG15922	3R	20559708	20560280	-1	protein_coding
FBgn0015359	CG2034	3L	2257456	2258922	1	protein_coding
FBgn0032362	spz4	2L	11501715	11508649	1	protein_coding
FBgn0266687	lncRNA:CR45177	3L	27091705	27092199	-1	ncRNA
FBgn0267322	lncRNA:CR45758	3L	22960930	22961668	1	ncRNA
FBgn0029714	CG3527	X	4551973	4553006	1	protein_coding
FBgn0259789	zld	X	19766465	19783548	-1	protein_coding
FBgn0001992	Cyp303a1	2L	16294183	16296969	1	protein_coding
FBgn0262719	CG43163	3L	8472807	8507146	-1	protein_coding
FBgn0267039	lncRNA:CR45483	X	4275234	4275964	-1	ncRNA
FBgn0034299	CG5757	2R	18093723	18094900	-1	protein_coding
FBgn0028563	sut1	2R	8082976	8087151	1	protein_coding
FBgn0022338	dnk	3R	18980995	18982749	1	protein_coding
FBgn0267117	lncRNA:CR45557	3R	32015941	32026928	1	ncRNA
FBgn0260648	Rrp40	2L	1728732	1729762	1	protein_coding
FBgn0036804	Sgf11	3L	18681037	18681836	-1	protein_coding
FBgn0015550	tap	3L	17359682	17361811	1	protein_coding
FBgn0037837	CG14693	3R	10811581	10815047	-1	protein_coding
FBgn0037336	CG2519	3R	5539510	5547775	-1	protein_coding
FBgn0026393	Or43b	2R	7920835	7922604	-1	protein_coding
FBgn0031663	CG8891	2L	4978484	4979379	-1	protein_coding
FBgn0040056	CG17698	3L	23737960	23749058	1	protein_coding
FBgn0036945	Ssk	3L	20188522	20189779	1	protein_coding
FBgn0035076	Ance-5	2R	24888628	24891023	-1	protein_coding
FBgn0011232	scat	2L	9431405	9435341	1	protein_coding
FBgn0025615	Torsin	X	4648592	4650032	-1	protein_coding
FBgn0037389	CR10991	3R	5848953	5849688	1	pseudogene
FBgn0030996	CG14194	X	19193555	19196037	1	protein_coding
FBgn0266616	lncRNA:CR45123	4	851174	851624	1	ncRNA
FBgn0266766	lncRNA:CR45231	2R	19784294	19789736	1	ncRNA
FBgn0262319	mir-1000	3R	25588859	25588958	-1	pre_miRNA
FBgn0266180	lncRNA:CR44886	X	3313333	3348400	-1	ncRNA
FBgn0039435	TwdlP	3R	26620608	26621364	-1	protein_coding
FBgn0051044	lncRNA:CR31044	3R	29214562	29219667	1	ncRNA
FBgn0051494	tRNA:Gly-TCC-1-1	3R	7129864	7129935	1	tRNA
FBgn0267975	vib	3R	19215434	19226651	-1	protein_coding
FBgn0038189	Art6	3R	13944654	13945812	-1	protein_coding
FBgn0266896	lncRNA:CR45356	2L	16998327	16998551	1	ncRNA
FBgn0267064	lncRNA:CR45508	X	21467983	21468479	-1	ncRNA
FBgn0000047	Act88F	3R	15439969	15442177	1	protein_coding
FBgn0005391	Yp2	X	10050951	10052636	-1	protein_coding
FBgn0036807	CG6893	3L	18694187	18695648	1	protein_coding
FBgn0025881	snoRNA:Me18S-A1576	2L	9894795	9894907	-1	snoRNA
FBgn0263217	lncRNA:CR43387	3R	23390144	23390566	1	ncRNA
FBgn0034151	CG15617	2R	16745223	16746579	-1	protein_coding
FBgn0032172	CG5850	2L	9959248	9963949	-1	protein_coding
FBgn0037313	CG1161	3R	5355092	5356748	1	protein_coding
FBgn0051907	CG31907	2L	7059214	7060851	-1	protein_coding
FBgn0003277	RpII215	X	11562800	11570326	-1	protein_coding
FBgn0037241	CG14646	3R	4390366	4392111	1	protein_coding
FBgn0010438	mtSSB	3R	16204194	16205250	-1	protein_coding
FBgn0028577	hfp	3L	1496853	1502590	-1	protein_coding
FBgn0052686	CG32686	X	10371717	10375316	-1	protein_coding
FBgn0028479	Mtpalpha	2L	9573563	9576769	-1	protein_coding
FBgn0030576	CG15890	X	14757531	14765787	-1	protein_coding
FBgn0034802	CNBP	2R	22934569	22937077	-1	protein_coding
FBgn0267535	asRNA:CR45875	3L	9890816	9892109	-1	ncRNA
FBgn0051601	CG31601	2L	22040727	22043877	-1	protein_coding
FBgn0265823	lncRNA:CR44612	2L	7142304	7145263	1	ncRNA
FBgn0029899	CG14438	X	6756322	6770712	1	protein_coding
FBgn0003449	snf	X	5309242	5310501	1	protein_coding
FBgn0265695	lncRNA:CR44502	X	7562905	7563485	-1	ncRNA
FBgn0031653	Jon25Biii	2L	4949941	4950767	-1	protein_coding
FBgn0267447	asRNA:CR45797	X	487898	488333	-1	ncRNA
FBgn0010433	ato	3R	8278052	8279274	1	protein_coding
FBgn0284229	CG46313	3R	26978541	26985706	1	protein_coding
FBgn0039769	CG15534	3R	30432064	30435139	1	protein_coding
FBgn0036038	defl	3L	9723423	9726706	1	protein_coding
FBgn0039645	CG11898	3R	29165643	29171508	1	protein_coding
FBgn0022224	ubl	2R	6810011	6810530	-1	protein_coding
FBgn0051735	CG31735	2L	15895454	15897071	1	protein_coding
FBgn0260771	Larp7	X	9243817	9245925	1	protein_coding
FBgn0266412	lncRNA:CR45052	3R	31704781	31705498	-1	ncRNA
FBgn0001227	Hsp67Ba	3L	9377802	9379534	-1	protein_coding
FBgn0034407	DptB	2R	18867391	18867895	1	protein_coding
FBgn0030077	CG15365	X	9054698	9067983	-1	protein_coding
FBgn0035170	dpr20	3L	852720	857248	-1	protein_coding
FBgn0027657	glob1	3R	15896926	15904521	-1	protein_coding
FBgn0083969	CG34133	3R	29869365	29875159	1	protein_coding
FBgn0004598	Fur2	X	16373086	16381782	1	protein_coding
FBgn0027791	O-fut2	X	1464363	1465996	-1	protein_coding
FBgn0029573	CG14770	X	1369249	1370176	1	protein_coding
FBgn0053814	His2A:CG33814	2L	21452934	21453426	1	protein_coding
FBgn0033948	CG12863	2R	14619798	14621320	-1	protein_coding
FBgn0265011	Np	2R	8992945	9006587	-1	protein_coding
FBgn0037270	eIF3f1	3R	4712882	4714182	-1	protein_coding
FBgn0051777	CG31777	2L	3706551	3707063	-1	protein_coding
FBgn0029603	CG14053	X	2191639	2193909	-1	protein_coding
FBgn0031893	MICU1	2L	7182234	7185529	1	protein_coding
FBgn0033248	Dic3	2R	7993798	7994968	-1	protein_coding
FBgn0031536	Cog3	2L	3453697	3457064	-1	protein_coding
FBgn0034073	CG8414	2R	16099306	16102608	-1	protein_coding
FBgn0026404	Dronc	3L	9968479	9971002	1	protein_coding
FBgn0010473	tutl	2L	4283148	4323781	1	protein_coding
FBgn0039066	EloA	3R	23251563	23255071	1	protein_coding
FBgn0032122	CG31883	2L	9528515	9529648	1	protein_coding
FBgn0065048	snoRNA:U3:54Aa	2R	17143521	17143693	-1	snoRNA
FBgn0085464	CG34435	X	5613325	5614467	-1	protein_coding
FBgn0039434	TwdlM	3R	26619118	26620224	1	protein_coding
FBgn0037547	CG7910	3R	8087252	8089526	1	protein_coding
FBgn0013765	cnn	2R	13439314	13450475	-1	protein_coding
FBgn0266382	asRNA:CR45024	3R	20677080	20677858	1	ncRNA
FBgn0001308	Khc	2R	16266960	16271971	-1	protein_coding
FBgn0053513	Nmdar2	X	1483625	1507809	-1	protein_coding
FBgn0259708	CG42362	2R	21664126	21666108	1	protein_coding
FBgn0038640	CG7706	3R	18677818	18680321	1	protein_coding
FBgn0032783	CG10237	2L	19435850	19442727	-1	protein_coding
FBgn0038763	PIG-L	3R	20018269	20021338	-1	protein_coding
FBgn0028645	beat-Ib	2L	15905134	15962435	-1	protein_coding
FBgn0037124	CG14568	3L	21732806	21733487	-1	protein_coding
FBgn0030349	CG10353	X	11877737	11887162	-1	protein_coding
FBgn0051933	CG31933	2L	1821256	1823331	-1	protein_coding
FBgn0032131	CG3841	2L	9589476	9591783	1	protein_coding
FBgn0058441	CR40441	Y	1883796	1883972	-1	pseudogene
FBgn0261791	SNRPG	X	16639810	16640419	-1	protein_coding
FBgn0086917	spok	3R	3322810	3354486	1	protein_coding
FBgn0052198	CG32198	3L	18526976	18527445	1	protein_coding
FBgn0030800	Nprl2	X	16882509	16884365	-1	protein_coding
FBgn0032406	CG14947	2L	12076100	12077739	1	protein_coding
FBgn0000964	tj	2L	19464267	19467758	1	protein_coding
FBgn0262722	lncRNA:CR43166	3R	24825791	24826471	-1	ncRNA
FBgn0266399	lncRNA:CR45039	3R	26006502	26007073	-1	ncRNA
FBgn0032055	CG13091	2L	8519690	8521809	1	protein_coding
FBgn0037082	CG5664	3L	21438628	21441363	-1	protein_coding
FBgn0029501	Crtp	2R	24494518	24497024	1	protein_coding
FBgn0024991	CG2694	X	2714079	2717654	1	protein_coding
FBgn0028866	CG18420	2L	14794516	14796642	-1	protein_coding
FBgn0263708	lncRNA:CR43660	2R	17253156	17255104	-1	ncRNA
FBgn0262878	CG43233	2L	20472793	20473385	-1	protein_coding
FBgn0052283	Drsl3	3L	3314996	3315355	1	protein_coding
FBgn0038484	CG5246	3R	17136111	17137195	1	protein_coding
FBgn0000246	c(3)G	3R	15789473	15792579	-1	protein_coding
FBgn0052073	CG32073	3L	11107008	11107582	-1	protein_coding
FBgn0000564	Eh	3R	17446642	17448858	-1	protein_coding
FBgn0034897	Sesn	2R	23713900	23734846	1	protein_coding
FBgn0040253	Ugt86Dg	3R	11164423	11166074	-1	protein_coding
FBgn0004514	Oct-TyrR	3L	22035003	22065279	1	protein_coding
FBgn0034674	CG9304	2R	21973122	21976386	1	protein_coding
FBgn0263563	mir-4956	X	7085737	7085853	-1	pre_miRNA
FBgn0033100	CG3420	2R	6756296	6757209	-1	protein_coding
FBgn0051143	tRNA:Leu-CAA-2-3	3R	23601333	23601455	-1	tRNA
FBgn0037891	CG5214	3R	11244302	11246862	1	protein_coding
FBgn0264449	CG43867	X	808217	927975	-1	protein_coding
FBgn0085570	CR41243	2R	3334854	3336160	1	pseudogene
FBgn0010504	kermit	2R	8146918	8156654	-1	protein_coding
FBgn0011211	blw	2R	22799099	22802180	1	protein_coding
FBgn0053530	Acp53C14c	2R	16750776	16751495	-1	protein_coding
FBgn0036581	MED10	3L	16232084	16232777	1	protein_coding
FBgn0040534	Sf3b5	3R	9014972	9015341	-1	protein_coding
FBgn0038809	CG16953	3R	20581770	20585833	-1	protein_coding
FBgn0004370	Ptp10D	X	11622015	11677338	1	protein_coding
FBgn0033819	CG4714	2R	13251852	13254337	-1	protein_coding
FBgn0037715	CG9399	3R	9571911	9574211	-1	protein_coding
FBgn0027583	CG7601	3R	29735269	29736745	-1	protein_coding
FBgn0000479	dnc	X	3176440	3343767	1	protein_coding
FBgn0028662	VhaPPA1-1	3R	14902330	14904061	-1	protein_coding
FBgn0035888	CG7120	3L	8396000	8402295	1	protein_coding
FBgn0035649	CG10483	3L	5917905	5921316	-1	protein_coding
FBgn0266578	lncRNA:CR45109	3R	13132429	13155687	-1	ncRNA
FBgn0039977	CG17454	3L	23715023	23716689	1	protein_coding
FBgn0267659	lncRNA:CR45997	2R	17262339	17262748	1	ncRNA
FBgn0053425	5SrRNA:CR33425	2R	19739570	19739704	-1	rRNA
FBgn0032636	CG5043	2L	17433862	17435800	1	protein_coding
FBgn0028426	RNaseZ	2R	10307030	10309794	-1	protein_coding
FBgn0034974	CG16786	2R	24081782	24086287	1	protein_coding
FBgn0053246	Ste:CG33246	X	14048011	14048734	-1	protein_coding
FBgn0031107	HERC2	X	20394395	20412247	1	protein_coding
FBgn0263568	mir-4946	2L	18867046	18867161	-1	pre_miRNA
FBgn0266677	asRNA:CR45167	3L	5918389	5919556	1	ncRNA
FBgn0012025	tRNA:Tyr-GTA-1-7	3R	8668612	8668705	-1	tRNA
FBgn0051501	nxf4	3R	7346730	7347836	1	protein_coding
FBgn0265549	lncRNA:CR44399	2L	17939019	17939715	-1	ncRNA
FBgn0263976	asRNA:CR43728	2R	16285797	16286254	-1	ncRNA
FBgn0001319	kn	2R	14772650	14807061	-1	protein_coding
FBgn0266809	asRNA:CR45271	2R	12296495	12297805	-1	ncRNA
FBgn0003963	ush	2L	476220	540560	1	protein_coding
FBgn0033169	CG11123	2R	7440706	7442885	1	protein_coding
FBgn0266768	lncRNA:CR45233	3L	14410117	14410698	-1	ncRNA
FBgn0052218	lncRNA:CR32218	3L	19895216	19896391	-1	ncRNA
FBgn0262786	CG43167	2L	11657410	11657992	1	protein_coding
FBgn0003513	ss	3R	16374434	16403690	-1	protein_coding
FBgn0267065	lncRNA:CR45509	X	21479654	21479949	-1	ncRNA
FBgn0038250	CG3505	3R	14657447	14659228	1	protein_coding
FBgn0029800	lin-52	X	5753390	5754958	-1	protein_coding
FBgn0263355	CG31688	2L	20426199	20447905	1	protein_coding
FBgn0053526	PNUTS	2L	870465	877038	1	protein_coding
FBgn0030776	CG4653	X	16704081	16705278	1	protein_coding
FBgn0060296	pain	2R	24921505	24928275	-1	protein_coding
FBgn0263564	mir-4914	2L	2737568	2737661	1	pre_miRNA
FBgn0036844	Mkp3	3L	19066155	19086426	-1	protein_coding
FBgn0038914	fit	3R	21883924	21884454	-1	protein_coding
FBgn0029819	Usp30	X	5877000	5879787	-1	protein_coding
FBgn0053309	CG33309	2L	14810761	14812599	1	protein_coding
FBgn0259839	Su(Ste):CR42408	211000022280494	1	1443	-1	ncRNA
FBgn0031571	bark	2L	3787167	3802726	1	protein_coding
FBgn0038143	CG9813	3R	13373104	13379775	-1	protein_coding
FBgn0025109	Bem46	2L	2988116	2990075	1	protein_coding
FBgn0035009	CG16837	2R	24475386	24476032	1	protein_coding
FBgn0000464	Lar	2L	19586623	19732069	1	protein_coding
FBgn0263460	snoRNA:CG31191-a	3R	20912733	20912879	-1	snoRNA
FBgn0001255	ImpE3	3R	8028453	8029546	-1	protein_coding
FBgn0263572	mir-4981	2R	8015249	8015343	1	pre_miRNA
FBgn0266949	lncRNA:CR45400	3L	127321	127666	-1	ncRNA
FBgn0264904	asRNA:CR44095	3R	14568962	14569871	1	ncRNA
FBgn0033468	CG1418	2R	9963835	9965067	-1	protein_coding
FBgn0259794	sinah	3L	16859080	16860529	1	protein_coding
FBgn0035147	Gale	3L	648555	651311	1	protein_coding
FBgn0036106	CG6409	3L	10880699	10882386	-1	protein_coding
FBgn0267894	CR46182	Y	3212762	3213536	-1	pseudogene
FBgn0011861	tRNA:Gly-GCC-1-3	2L	7872849	7872919	1	tRNA
FBgn0263545	mir-4963	X	5790753	5790861	1	pre_miRNA
FBgn0034569	dgt3	2R	20992276	20994381	-1	protein_coding
FBgn0033459	CG12744	2R	9874889	9876242	1	protein_coding
FBgn0041242	Gr47a	2R	10362185	10363584	1	protein_coding
FBgn0035719	tow	3L	6942856	6949313	1	protein_coding
FBgn0263496	lncRNA:CR43485	3L	3693752	3694227	-1	ncRNA
FBgn0053364	5SrRNA:CR33364	2R	19762068	19762202	-1	rRNA
FBgn0062440	EMRE	2R	18147297	18147997	-1	protein_coding
FBgn0031561	IM33	2L	3696218	3696658	-1	protein_coding
FBgn0030630	CG12608	X	15342857	15344625	-1	protein_coding
FBgn0034197	Cda9	2R	17128480	17130334	1	protein_coding
FBgn0033463	CG1513	2R	9882572	9891689	-1	protein_coding
FBgn0265449	lncRNA:CR44349	3R	17518210	17519084	-1	ncRNA
FBgn0034443	cer	2R	19396215	19396772	-1	protein_coding
FBgn0020261	pcm	X	19485759	19492011	-1	protein_coding
FBgn0002413	dco	3R	31054085	31061210	-1	protein_coding
FBgn0031736	CG11030	2L	5724656	5762420	1	protein_coding
FBgn0039241	CG11089	3R	24877045	24881478	1	protein_coding
FBgn0266905	lncRNA:CR45365	2L	8852009	8852664	-1	ncRNA
FBgn0020764	Alas	2R	23964772	23966757	1	protein_coding
FBgn0263506	lncRNA:CR43495	X	4874000	4874382	-1	ncRNA
FBgn0053158	CG33158	3L	16419597	16496560	1	protein_coding
FBgn0263233	robls54B	2R	17455743	17456441	-1	protein_coding
FBgn0035517	CG1265	3L	4254776	4256053	1	protein_coding
FBgn0053417	5SrRNA:CR33417	2R	19742503	19742637	-1	rRNA
FBgn0053770	CG33770	3L	22648672	22649287	1	protein_coding
FBgn0038881	CG16791	3R	21318300	21349601	-1	protein_coding
FBgn0025519	fidipidine	2R	16262284	16264619	-1	protein_coding
